bairro_origem,bairro_destino,logradouro,observacao,peso
Mustardinha,San Martin,Avenida Cônsul Vilares Fragoso,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Nova Descoberta,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Parnamirim,Santana,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Parnamirim,Tamarineira,Rua Afonso Celso,tipo=RUA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.10,2.1
Ponto de Parada,Rosarinho,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Ponto de Parada,Tamarineira,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Porto da Madeira,Água Fria,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Poço,Santana,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Prado,San Martin,Avenida Engenheiro Abdias de Carvalho,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Prado,Zumbi,Rua Abdias de Oliveira,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=3.50,3.5
Recife,Santo Amaro,Ponte do Limoeiro,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Recife,Santo Antônio,Ponte Buarque de Macedo,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Recife,São José,Ponte Giratória,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Rosarinho,Tamarineira,Avenida Engenheiro Agamenon de Magalhães Melo,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=0.95,0.95
San Martin,Torrões,Avenida Engenheiro Abdias de Carvalho,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Sancho,Tejipió,Avenida Liberdade,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Sancho,Totó,Avenida Liberdade,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Santana,Torre,Avenida Beira Rio,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Santo Amaro,Santo Antônio,Ponte Princesa Izabel,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Santo Amaro,Soledade,Avenida João de Barros,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Santo Amaro,Torreão,Avenida Dr Jayme da Fonte,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Santo Antônio,São José,Avenida Dantas Barreto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.05,1.05
Torre,Zumbi,Rua Antônio Machado Gomes da Silva,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=3.10,3.1
